t,count,max,p50,p95,p99,mean_rate,action,run_amount,pod_grp,db_type
1682365033,4463,60.47879,1.175444,7.955938,12.46376,4399.651421,write,500k,5,m
1682365034,7424,23.96331,1.008823,12.254484,17.345814,3696.865711,write,500k,5,m
1682365035,11896,20.55432,0.986061,9.035106,12.340726,3954.425378,write,500k,5,m
1682365036,14524,20.164649,0.809806,12.32778,18.2066,3622.884889,write,500k,5,m
1682365037,17906,24.033767,0.817107,11.349694,18.435264,3574.985349,write,500k,5,m
1682365038,21085,23.64823,0.813238,11.196906,14.808503,3509.519139,write,500k,5,m
1682365039,24794,20.147345,0.839611,11.198781,15.367438,3538.119409,write,500k,5,m
1682365040,27667,24.12259,0.830797,12.018301,16.45124,3455.060631,write,500k,5,m
1682365041,30219,20.503235,0.895045,12.346008,16.704176,3355.496592,write,500k,5,m
1682365042,33173,23.694937,0.806638,11.941597,18.092063,3314.733176,write,500k,5,m
1682365043,36505,26.340238,0.812476,11.790935,18.067678,3316.342329,write,500k,5,m
1682365044,39982,23.691107,0.760776,11.503085,15.996668,3329.768761,write,500k,5,m
1682365045,43200,24.083933,0.783911,12.002344,16.048073,3321.107089,write,500k,5,m
1682365046,46445,23.388886,0.864556,11.261094,15.843211,3315.788267,write,500k,5,m
1682365047,49243,23.708447,0.820301,12.102331,19.365256,3281.290422,write,500k,5,m
1682365048,52485,21.722937,0.828749,10.871374,16.592418,3278.7986,write,500k,5,m
1682365049,55065,20.477978,0.873774,12.928426,16.557026,3237.774315,write,500k,5,m
1682365050,58073,24.038373,0.785838,11.943724,18.936763,3224.982844,write,500k,5,m
1682365051,61289,23.247895,0.788106,11.775038,15.507727,3224.478389,write,500k,5,m
1682365052,64293,22.733032,0.78119,11.848409,15.672946,3213.509652,write,500k,5,m
1682365053,67157,23.594673,0.788824,12.039163,18.000646,3196.865598,write,500k,5,m
1682365054,70253,24.119523,0.814186,11.45374,18.497159,3192.285377,write,500k,5,m
1682365055,73673,24.033784,0.803974,10.854022,16.330742,3202.165201,write,500k,5,m
1682365056,77037,19.978496,0.823904,10.192027,16.032851,3208.683054,write,500k,5,m
1682365057,79657,30.812383,2.043643,11.782275,17.988876,3183.657931,write,500k,5,m
1682365058,83803,37.166587,1.427652,8.101592,14.15823,3222.190028,write,500k,5,m
1682365059,87542,19.167005,0.89972,10.930584,14.33085,3241.378566,write,500k,5,m
1682365060,90546,21.379036,0.866648,12.020381,17.273178,3232.958514,write,500k,5,m
1682365061,93762,22.030514,0.788946,11.994861,16.701312,3232.384688,write,500k,5,m
1682365062,96750,22.337354,0.787578,11.898875,16.918605,3224.223319,write,500k,5,m
1682365063,99404,22.696559,0.860354,12.503566,20.007781,3205.853283,write,500k,5,m
1682365064,102168,24.47922,0.866934,12.030673,16.020783,3192.053436,write,500k,5,m
1682365065,104916,23.76789,0.84794,11.961939,19.443578,3178.597965,write,500k,5,m
1682365066,108303,20.241748,0.802432,11.166994,15.296162,3184.719902,write,500k,5,m
1682365067,110648,24.051554,0.851214,12.550431,19.993219,3160.784694,write,500k,5,m
1682365068,113484,23.961408,0.746085,12.069453,18.144956,3151.711811,write,500k,5,m
1682365069,116422,23.542459,0.744378,12.073005,19.004407,3145.932528,write,500k,5,m
1682365070,119268,24.126989,0.75767,12.393142,16.588243,3138.038471,write,500k,5,m
1682365071,122274,20.685256,0.81085,11.808314,16.097238,3134.648625,write,500k,5,m
1682365072,125298,23.477164,0.819668,11.841341,17.973804,3131.896855,write,500k,5,m
1682365073,128529,21.567047,0.73364,11.815403,16.041019,3134.302249,write,500k,5,m
1682365074,131575,22.769266,0.733107,11.762479,18.014091,3132.200928,write,500k,5,m
