t,count,max,p50,p95,p99,mean_rate,action,run_amount,pod_grp,db_type
1682336260,3688,38.103958,1.252264,8.677673,14.11821,3633.757044,write,500k,1,m
1682336261,6971,18.844236,0.925239,10.59508,15.604634,3471.004497,write,500k,1,m
1682336262,10889,38.154748,0.949313,9.827502,14.891978,3619.825988,write,500k,1,m
1682336263,13641,23.476451,0.76811,12.136159,16.086854,3403.088144,write,500k,1,m
1682336264,16408,23.290054,0.882622,11.867016,15.934696,3277.038834,write,500k,1,m
1682336265,19264,24.917286,0.834919,11.416445,16.049168,3206.184403,write,500k,1,m
1682336266,22366,20.145195,0.844855,11.113253,15.906416,3191.425751,write,500k,1,m
1682336267,25560,20.012103,0.899287,11.115806,14.542469,3191.783064,write,500k,1,m
1682336268,28613,24.011962,0.78284,11.429999,16.617376,3176.43046,write,500k,1,m
1682336269,31545,23.984495,0.757002,11.26756,16.031261,3151.997703,write,500k,1,m
1682336270,34470,20.12934,0.793281,11.297583,16.608571,3131.539891,write,500k,1,m
1682336271,37295,20.047672,0.821104,11.889571,17.480204,3105.933048,write,500k,1,m
1682336272,40197,22.015976,0.75847,12.072422,19.709026,3090.334974,write,500k,1,m
1682336273,42939,21.285082,0.898938,12.093587,16.048174,3065.484297,write,500k,1,m
1682336274,45776,23.375845,0.773626,11.900249,16.727546,3050.228913,write,500k,1,m
1682336275,48694,19.577316,0.760765,11.943544,15.952846,3041.935705,write,500k,1,m
1682336276,51691,19.507786,0.81347,11.59296,16.018662,3039.314937,write,500k,1,m
1682336277,54987,23.270125,0.771351,11.39046,15.41707,3053.499977,write,500k,1,m
1682336278,58204,20.023176,0.74389,11.177766,16.025335,3062.133381,write,500k,1,m
1682336279,61159,21.976749,0.754129,10.899637,16.05163,3056.747307,write,500k,1,m
1682336280,64246,22.303794,0.80487,11.397903,16.003621,3058.210908,write,500k,1,m
1682336281,67264,22.620827,0.819309,11.719565,17.690979,3056.43701,write,500k,1,m
