t,count,max,p50,p95,p99,mean_rate,action,run_amount,pod_grp,db_type
1682352821,3356,108.389964,1.230226,10.427577,18.865825,3315.716171,write,500k,3,m
1682352822,7076,25.176088,0.900696,9.831912,16.001043,3513.004462,write,500k,3,m
1682352823,11537,18.348218,0.897645,8.572302,12.828399,3834.796681,write,500k,3,m
1682352824,14878,24.004549,0.782869,10.764083,16.090969,3710.73239,write,500k,3,m
1682352825,17336,23.566169,0.813896,12.71857,18.208195,3461.542805,write,500k,3,m
1682352826,20348,20.298872,0.799649,11.673522,17.965793,3386.868645,write,500k,3,m
1682352827,23323,23.709613,0.838321,11.766988,16.062939,3328.144084,write,500k,3,m
1682352828,26524,21.747719,0.816494,10.656805,15.675609,3312.285781,write,500k,3,m
1682352829,29479,22.239959,0.80869,11.855917,16.302004,3272.602856,write,500k,3,m
1682352830,32508,24.035873,0.80825,11.357609,15.857109,3248.192799,write,500k,3,m
1682352831,35389,23.58629,0.811586,12.01576,19.27412,3214.943536,write,500k,3,m
1682352832,38483,23.974831,0.806895,12.016379,17.3794,3204.770382,write,500k,3,m
1682352833,41833,19.606341,0.805016,10.708927,15.262284,3216.045763,write,500k,3,m
1682352834,44776,24.311773,0.791882,12.06438,19.62667,3196.673864,write,500k,3,m
1682352835,47809,23.583009,0.780762,11.947012,17.109102,3185.679944,write,500k,3,m
1682352836,51063,24.197679,0.835442,11.889916,16.037372,3189.937359,write,500k,3,m
1682352837,53958,23.547536,0.822349,11.978099,17.232009,3172.581102,write,500k,3,m
1682352838,57104,20.117182,0.801932,11.893387,18.048405,3171.147561,write,500k,3,m
1682352839,60371,23.605495,0.811561,11.951942,16.012264,3176.167532,write,500k,3,m
1682352840,63255,20.392407,1.018173,11.008361,15.535489,3160.403111,write,500k,3,m
1682352841,66812,20.243401,0.851433,10.970925,14.659474,3180.383185,write,500k,3,m
1682352842,70337,23.571354,0.932001,11.116754,13.323456,3196.048695,write,500k,3,m
1682352843,73488,19.133014,0.980982,11.085232,15.752261,3194.124141,write,500k,3,m
1682352844,76964,20.881541,0.875795,10.318756,14.565107,3205.91782,write,500k,3,m
1682352845,80248,20.884727,1.050016,11.096325,14.760104,3208.959794,write,500k,3,m
1682352846,83451,23.565394,0.823014,11.492954,15.996161,3208.740985,write,500k,3,m
1682352847,87035,23.654752,0.829097,9.787887,15.263798,3222.615161,write,500k,3,m
1682352848,90694,19.085632,0.871609,9.145632,14.790112,3238.220285,write,500k,3,m
1682352849,93667,23.978783,0.890343,11.925359,16.05101,3229.084717,write,500k,3,m
1682352850,96418,23.566078,0.85914,12.011265,18.478669,3213.161167,write,500k,3,m
1682352851,99711,23.505644,1.041953,10.910439,15.796484,3215.72813,write,500k,3,m
1682352852,102247,19.765461,1.119205,11.887468,17.900061,3194.534394,write,500k,3,m
1682352853,105731,22.668617,0.958974,9.748052,15.433664,3203.257071,write,500k,3,m
1682352854,109129,23.456203,0.794335,10.855227,15.234488,3208.617073,write,500k,3,m
1682352855,112847,19.305142,0.890511,9.730419,13.747227,3223.517135,write,500k,3,m
1682352856,115727,23.867114,1.035884,12.10786,19.620712,3213.996957,write,500k,3,m
1682352857,119225,23.509681,0.871598,11.304746,13.548929,3221.678168,write,500k,3,m
1682352858,122384,22.662618,0.974696,11.345903,17.543769,3220.017275,write,500k,3,m
1682352859,125678,19.610317,0.871974,10.280619,15.994536,3221.901492,write,500k,3,m
1682352860,128761,23.103044,0.947548,11.419579,16.302286,3218.462818,write,500k,3,m
1682352861,131718,21.386949,1.008742,11.412494,16.684284,3212.064044,write,500k,3,m
1682352862,134951,21.970386,0.940756,10.914987,15.915068,3212.562935,write,500k,3,m
1682352863,138415,23.723729,0.920043,11.984819,15.998147,3218.338662,write,500k,3,m
1682352864,141739,23.064046,0.938561,11.310653,16.40692,3220.790709,write,500k,3,m
1682352865,145311,22.310887,1.202885,9.830278,15.048337,3228.606291,write,500k,3,m
1682352866,149111,23.517417,1.22177,9.429651,13.355314,3241.01535,write,500k,3,m
1682352867,153132,23.224601,0.879265,9.152735,14.976671,3257.61069,write,500k,3,m
1682352868,156675,19.890172,0.958751,10.5952,15.952493,3263.557262,write,500k,3,m
1682352869,159895,23.842923,0.858158,11.665245,15.491235,3262.665465,write,500k,3,m
1682352870,163309,25.387944,0.869701,11.191471,15.581478,3265.701278,write,500k,3,m
1682352871,166473,19.760052,0.900673,10.274386,15.474708,3263.693841,write,500k,3,m
1682352872,169490,24.354143,0.984999,11.986023,15.916606,3258.970269,write,500k,3,m
1682352873,172876,23.680602,0.832579,11.983863,16.019653,3261.362874,write,500k,3,m
1682352874,176142,23.024142,0.907763,11.169197,15.469219,3261.476454,write,500k,3,m
1682352875,179373,21.558201,0.937836,11.271491,15.966635,3260.888369,write,500k,3,m
1682352876,182080,22.629189,0.860153,12.033713,16.879843,3251.013173,write,500k,3,m
1682352877,185471,23.165634,0.952934,10.956707,16.178806,3253.454107,write,500k,3,m
1682352878,188704,23.603016,0.90128,11.298198,16.27615,3253.109052,write,500k,3,m
1682352879,191798,19.952407,0.901359,11.615058,15.98121,3250.4144,write,500k,3,m
1682352880,195128,23.575231,0.820215,10.909041,13.9158,3251.736564,write,500k,3,m
1682352881,198635,24.484668,0.897847,10.654166,15.513384,3255.918508,write,500k,3,m
1682352882,201622,23.599961,0.853604,11.874941,15.985586,3251.584196,write,500k,3,m
1682352883,204548,26.665806,1.029663,12.062628,19.191941,3246.419123,write,500k,3,m
1682352884,208139,24.062617,0.809987,11.759541,15.65146,3251.757306,write,500k,3,m
1682352885,211870,20.906932,0.747753,11.276496,16.528705,3259.162752,write,500k,3,m
1682352886,214937,24.122005,0.867494,11.964957,16.825094,3256.279418,write,500k,3,m
1682352887,218530,22.727753,0.820124,10.960055,15.216214,3261.280848,write,500k,3,m
1682352888,221629,22.91769,0.960483,11.579773,19.18658,3258.903365,write,500k,3,m
1682352889,224844,23.483273,0.778426,11.233295,15.802111,3258.263078,write,500k,3,m
1682352890,227757,20.129527,0.93385,11.684503,16.01209,3253.336402,write,500k,3,m
1682352891,230721,19.14309,0.938308,11.526274,15.940616,3249.261864,write,500k,3,m
1682352892,233628,21.257921,0.970691,11.203004,15.598572,3244.521322,write,500k,3,m
1682352893,236678,24.080117,0.776326,11.965001,16.194681,3241.814348,write,500k,3,m
1682352894,240472,21.793649,0.922876,9.925593,14.948523,3249.297669,write,500k,3,m
1682352895,243816,23.535277,0.990156,11.072364,15.988573,3250.571216,write,500k,3,m
1682352896,247623,23.956777,0.930145,10.259578,14.641742,3257.87728,write,500k,3,m
1682352897,251122,24.164484,0.870295,11.577204,15.978985,3260.989499,write,500k,3,m
1682352898,254412,19.787822,0.871988,11.173864,15.344613,3261.334997,write,500k,3,m
1682352899,257558,23.585965,0.896899,11.447404,16.619086,3259.927642,write,500k,3,m
1682352900,260491,22.305885,0.964482,12.05935,16.418424,3255.842827,write,500k,3,m
1682352901,263862,28.373972,1.000081,10.787222,15.969432,3257.259314,write,500k,3,m
1682352902,267579,20.386602,0.896353,10.27893,12.853927,3262.862836,write,500k,3,m
1682352903,270872,23.474209,0.995882,11.471569,15.486832,3263.229879,write,500k,3,m
1682352904,274329,24.359991,0.953932,10.465954,14.989764,3265.537432,write,500k,3,m
1682352905,277586,23.874999,1.059094,10.73154,15.917443,3265.44046,write,500k,3,m
1682352906,280836,23.930351,0.830353,11.76826,18.597002,3265.256277,write,500k,3,m
1682352907,284305,21.212631,0.913378,11.227555,15.378271,3267.597883,write,500k,3,m
1682352908,287894,23.544502,0.919832,10.700558,13.66862,3271.247478,write,500k,3,m
1682352909,291049,20.996613,0.869874,10.826214,15.89607,3269.943936,write,500k,3,m
1682352910,294532,23.048975,0.792505,11.303935,17.197714,3272.2975,write,500k,3,m
1682352911,297915,22.050866,0.833382,11.21396,14.621105,3273.526762,write,500k,3,m
1682352912,300870,22.499191,0.896813,11.949751,16.445784,3270.0705,write,500k,3,m
1682352913,303488,23.02069,1.064443,11.988116,19.849253,3263.072282,write,500k,3,m
1682352914,306976,23.038949,0.824927,10.952587,15.221288,3265.450046,write,500k,3,m
1682352915,309793,20.003494,0.848144,11.580165,16.67573,3260.742482,write,500k,3,m
1682352916,312387,22.998171,0.782645,12.624817,16.313383,3253.790575,write,500k,3,m
1682352917,315846,23.211781,0.761022,11.596438,15.976032,3255.89674,write,500k,3,m
1682352918,318856,22.952968,0.722466,11.980214,19.363644,3253.391006,write,500k,3,m
1682352919,321695,22.282196,0.758591,11.095236,16.268373,3249.206783,write,500k,3,m
1682352920,324760,21.893527,0.801681,12.045751,16.030606,3247.365833,write,500k,3,m
1682352921,327410,23.952751,0.788661,12.417365,16.185819,3241.451406,write,500k,3,m
1682352922,329871,23.977316,0.828714,12.135754,16.307608,3233.805696,write,500k,3,m
1682352923,332755,23.085037,0.749608,11.826659,18.813473,3230.404566,write,500k,3,m
1682352924,336550,22.299202,1.225845,9.74609,13.431044,3235.822868,write,500k,3,m
1682352925,340148,19.981296,0.782017,10.986432,16.072937,3239.275956,write,500k,3,m
1682352926,343502,20.131914,0.897147,10.672476,15.332118,3240.377015,write,500k,3,m
1682352927,346566,24.033603,0.776171,11.993949,18.22721,3238.713311,write,500k,3,m
1682352928,349490,23.206372,0.750483,11.931152,17.244557,3235.802301,write,500k,3,m
1682352929,352115,23.422936,0.767436,12.007773,17.422848,3230.200108,write,500k,3,m
1682352930,355008,20.927689,0.76629,12.336072,19.923029,3227.133016,write,500k,3,m
1682352931,357754,23.271653,0.782164,12.415638,18.69559,3222.801381,write,500k,3,m
1682352932,360646,23.321121,0.818749,11.389551,17.040462,3219.845964,write,500k,3,m
1682352933,363606,24.069802,0.753439,11.783289,18.879741,3217.55018,write,500k,3,m
1682352934,366578,19.475439,0.757339,11.409963,15.779225,3215.388327,write,500k,3,m
1682352935,369270,19.953257,0.77655,12.302611,16.025575,3210.843849,write,500k,3,m
1682352936,371976,23.495481,0.765651,12.029957,17.328002,3206.495325,write,500k,3,m
1682352937,374845,23.367989,0.765337,11.969617,16.69357,3203.607305,write,500k,3,m
1682352938,378047,22.87515,0.758419,11.55221,15.570701,3203.589963,write,500k,3,m
1682352939,380845,24.004422,0.761519,11.812647,15.565037,3200.183159,write,500k,3,m
1682352940,383899,22.287113,0.786313,11.741896,16.142088,3198.963044,write,500k,3,m
1682352941,386952,21.937362,0.743257,10.81874,18.187474,3197.759385,write,500k,3,m
1682352942,389787,20.935809,0.810895,12.665933,19.094704,3194.795289,write,500k,3,m
1682352943,392536,22.693678,0.799641,11.973406,17.438989,3191.164921,write,500k,3,m
1682352944,395620,23.975675,0.759889,11.930678,16.62467,3190.297569,write,500k,3,m
1682352945,398570,20.117795,0.843172,10.828049,15.930988,3188.375493,write,500k,3,m
1682352946,401262,23.964866,0.794524,11.986746,17.88258,3184.455054,write,500k,3,m
1682352947,404429,20.086691,0.748278,11.225743,16.025522,3184.298173,write,500k,3,m
1682352948,407172,20.16367,0.763485,11.850689,16.148966,3180.852413,write,500k,3,m
1682352949,410053,23.655336,0.76199,11.822987,16.04443,3178.53141,write,500k,3,m
1682352950,412807,24.096296,0.806398,11.898588,16.094737,3175.261949,write,500k,3,m
1682352951,415626,22.685865,0.794771,12.035813,17.290967,3172.530905,write,500k,3,m
1682352952,418273,21.294773,0.788256,11.957151,17.324,3168.561924,write,500k,3,m
1682352953,421009,23.595505,0.7727,12.387365,16.115756,3165.312045,write,500k,3,m
1682352954,423516,23.642606,0.80758,12.185775,18.243836,3160.400984,write,500k,3,m
1682352955,426433,24.082515,0.749501,11.609335,18.922298,3158.593964,write,500k,3,m
1682352956,428979,19.958323,0.902809,11.991185,15.962006,3154.093213,write,500k,3,m
1682352957,431587,23.120331,0.773264,12.512959,20.037328,3150.106242,write,500k,3,m
1682352958,435012,18.989035,0.818033,10.578763,14.738295,3152.095598,write,500k,3,m
