t,count,max,p50,p95,p99,mean_rate,action,run_amount,pod_grp,db_type
1682359235,31462,20.087916,0.919903,10.570937,15.971377,3492.088245,write,100k,3,m
1682359236,34536,24.156302,0.911845,11.700422,14.878698,3450.689881,write,100k,3,m
1682359237,38282,23.245342,0.868387,9.553427,15.079956,3477.500669,write,100k,3,m
1682359238,42202,19.468604,0.779049,10.512525,15.511351,3514.342057,write,100k,3,m
1682359239,46107,22.32007,1.114461,9.867242,13.715999,3544.486332,write,100k,3,m
1682359240,49892,21.751671,0.835814,10.264182,14.080629,3561.511774,write,100k,3,m
1682359241,53437,21.440954,0.936816,10.184617,15.201897,3560.47046,write,100k,3,m
1682359242,56743,23.1287,0.836671,11.57915,15.470324,3543.531403,write,100k,3,m
1682359243,60133,22.063111,0.824149,10.887829,15.567802,3535.487883,write,100k,3,m
1682359244,64048,20.592878,0.900847,8.701401,13.902994,3556.539634,write,100k,3,m
1682359245,67400,24.407509,0.984441,10.669618,13.722629,3545.851952,write,100k,3,m
1682359246,70903,22.759916,0.850342,10.424622,15.352179,3543.708298,write,100k,3,m
1682359247,74364,21.598361,0.816279,10.685031,14.768735,3539.785018,write,100k,3,m
1682359248,77766,22.989983,0.982413,10.526974,15.229233,3533.607808,write,100k,3,m
1682359249,81012,19.956222,0.96794,10.86731,15.547852,3521.047005,write,100k,3,m
1682359250,84437,19.286412,0.866013,9.945237,15.342184,3517.022715,write,100k,3,m
1682359251,88180,21.75232,0.902916,9.289971,14.085662,3526.070163,write,100k,3,m
1682359252,91540,22.421606,0.874511,11.166207,15.376809,3519.703452,write,100k,3,m
1682359253,94951,27.0805,0.897584,10.390119,15.524966,3515.666465,write,100k,3,m
1682359254,98693,22.01794,0.86025,9.101556,14.242185,3523.755123,write,100k,3,m
1682359283,3478,36.177057,1.242771,10.132394,16.756263,3435.611178,write,100k,3,m
1682359284,6619,25.841179,0.946263,11.797904,19.099711,3295.604331,write,100k,3,m
1682359285,11139,18.756036,0.870804,8.612375,12.467571,3702.624757,write,100k,3,m
1682359286,14400,24.042212,0.820129,11.318409,15.750481,3591.864122,write,100k,3,m
1682359287,17695,21.913388,0.764217,11.179849,15.564074,3532.939942,write,100k,3,m
1682359288,21236,23.968322,0.777631,10.838868,15.856783,3532.833811,write,100k,3,m
1682359289,24755,21.351244,0.758193,10.811317,17.234255,3532.282009,write,100k,3,m
1682359290,27998,22.317363,0.775728,11.335381,15.493763,3496.159964,write,100k,3,m
1682359291,31275,23.65084,0.765354,11.521864,15.985523,3471.848787,write,100k,3,m
1682359292,34630,20.543623,0.840736,10.710358,15.028412,3460.174899,write,100k,3,m
1682359293,37387,22.494356,0.887272,12.043391,15.985916,3396.412097,write,100k,3,m
1682359294,40753,20.131144,0.813735,11.613343,17.203819,3393.967837,write,100k,3,m
1682359295,43945,23.224058,0.815771,11.465082,19.015721,3377.792215,write,100k,3,m
1682359296,46695,20.042905,0.825792,12.15383,16.639818,3333.488754,write,100k,3,m
1682359297,49888,22.34756,0.832533,11.114579,14.075745,3324.152481,write,100k,3,m
1682359298,53040,23.553315,0.823721,11.231277,15.952422,3313.398042,write,100k,3,m
1682359299,56450,24.005389,0.823522,10.933182,16.032051,3319.083619,write,100k,3,m
1682359300,59674,22.987364,0.818307,11.4985,15.916916,3313.801042,write,100k,3,m
1682359301,63022,21.8125,0.721417,10.673506,15.614817,3315.527913,write,100k,3,m
1682359302,66595,24.10744,0.765918,11.032473,15.994054,3328.468825,write,100k,3,m
1682359303,69873,18.734652,0.747732,10.529906,15.519818,3326.000905,write,100k,3,m
1682359304,72958,23.892583,0.814818,12.067778,16.329449,3315.129019,write,100k,3,m
1682359305,75937,22.894395,0.786247,11.655826,16.992548,3300.538858,write,100k,3,m
1682359306,78598,20.97911,0.804857,11.973331,19.292383,3273.95519,write,100k,3,m
1682359307,81395,21.768697,0.815075,11.529293,15.987379,3254.792767,write,100k,3,m
1682359308,84502,31.922508,0.786807,11.997719,19.202329,3249.063065,write,100k,3,m
1682359309,87614,23.560163,0.788391,11.566179,18.474623,3244.064702,write,100k,3,m
1682359310,90684,23.226001,0.823449,11.777237,17.738535,3237.863811,write,100k,3,m
1682359311,93721,22.078318,0.854836,11.666874,16.347553,3230.94072,write,100k,3,m
1682359312,97325,19.987252,0.836144,10.346512,15.511232,3243.333911,write,100k,3,m
1682359345,3816,42.860048,1.301489,9.550098,14.837579,3761.593259,write,100k,3,m
1682359346,8055,21.030643,1.162236,8.62072,13.161271,4007.852448,write,100k,3,m
1682359347,11948,30.269378,1.065628,9.414368,13.752834,3971.549199,write,100k,3,m
1682359348,15549,19.889363,0.838102,10.064111,14.461121,3878.114628,write,100k,3,m
1682359349,18664,22.706309,0.840266,11.335047,19.234655,3724.578547,write,100k,3,m
1682359350,22501,24.047501,0.842004,10.440262,15.910995,3744.838368,write,100k,3,m
1682359351,25946,22.795177,0.91997,11.10124,15.964442,3702.544717,write,100k,3,m
1682359352,29258,23.427506,0.934701,11.603492,14.860741,3653.772841,write,100k,3,m
1682359353,32705,22.255289,0.934162,10.837442,14.93808,3630.4848,write,100k,3,m
1682359354,35877,23.17654,0.874999,11.647346,16.050473,3585.188957,write,100k,3,m
1682359355,39518,24.147374,0.908077,10.91047,16.030846,3589.984176,write,100k,3,m
1682359356,42917,23.31557,0.948783,11.089279,15.376611,3574.029181,write,100k,3,m
1682359357,45950,23.315035,0.891291,12.05464,17.683708,3532.455944,write,100k,3,m
1682359358,49203,20.174536,0.808139,11.687204,18.341395,3512.427356,write,100k,3,m
1682359359,53237,19.417677,0.880558,10.05536,13.95386,3547.228116,write,100k,3,m
1682359360,56559,23.206463,0.897583,11.188919,15.646853,3533.131644,write,100k,3,m
1682359361,59737,18.065974,1.033181,10.407565,15.698483,3512.301425,write,100k,3,m
1682359362,63212,20.768257,0.797684,11.384297,15.522718,3510.184515,write,100k,3,m
1682359363,66689,23.932701,0.83848,10.976148,13.951677,3508.531078,write,100k,3,m
1682359364,70602,19.225463,0.875636,9.954825,13.527781,3528.710158,write,100k,3,m
