t,count,max,p50,p95,p99,mean_rate,action,run_amount,pod_grp,db_type
1682378670,3077,45.637544,1.751373,10.739573,16.148984,3041.124044,write,100k,5,m
1682378674,3594,48.78248,1.37956,9.875426,15.885065,3558.435725,write,100k,5,m
1682378675,7362,26.007263,0.974504,10.20591,13.532844,3665.050314,write,100k,5,m
1682378676,11757,19.933688,1.014352,8.902269,12.135581,3908.518159,write,100k,5,m
1682378677,15114,21.917903,0.83232,10.594516,15.233114,3769.463086,write,100k,5,m
1682378678,18311,22.572073,0.879887,11.464579,15.87878,3655.928462,write,100k,5,m
1682378679,21465,23.196746,0.961493,11.944628,15.960514,3570.601784,write,100k,5,m
1682378680,25085,23.625054,0.923861,11.62652,18.157175,3578.737605,write,100k,5,m
1682378681,28074,19.975481,0.968212,11.872055,16.960022,3505.7311,write,100k,5,m
1682378682,31728,23.75091,0.935337,10.764295,12.905759,3522.077284,write,100k,5,m
1682378683,34675,23.545752,1.027156,11.927197,18.77658,3464.735124,write,100k,5,m
1682378684,38233,23.417681,0.984275,10.01367,15.652092,3473.220859,write,100k,5,m
1682378685,41770,20.157434,0.905754,10.371588,15.962883,3478.620918,write,100k,5,m
1682378686,44772,24.17636,1.067988,11.27936,15.929344,3442.060924,write,100k,5,m
1682378687,48161,22.029638,0.930457,11.108321,17.657917,3438.155594,write,100k,5,m
1682378688,51598,23.807209,0.956707,11.48947,15.917097,3438.062002,write,100k,5,m
1682378689,54164,24.075584,0.971756,12.428826,20.920957,3383.701884,write,100k,5,m
1682378690,57993,26.648635,0.926043,10.254175,15.236807,3409.71848,write,100k,5,m
1682378691,61291,20.082852,1.021547,9.979023,16.000756,3403.612458,write,100k,5,m
1682378692,64299,21.739973,0.965594,12.044136,16.16446,3382.817933,write,100k,5,m
1682378693,67287,20.684707,1.021127,11.95367,17.11228,3362.575036,write,100k,5,m
1682378694,70678,24.089631,0.952209,9.715757,15.425406,3364.437196,write,100k,5,m
1682378695,73598,22.822719,1.081109,11.913013,15.435804,3344.239542,write,100k,5,m
1682378696,77053,20.349317,1.097293,11.017109,14.402476,3349.123543,write,100k,5,m
1682378697,80381,24.104582,0.966008,11.164265,15.216816,3348.13291,write,100k,5,m
1682378698,83436,24.01161,0.91686,11.248587,18.488417,3336.427841,write,100k,5,m
1682378699,86444,24.863104,0.999356,11.855758,16.7991,3323.79922,write,100k,5,m
1682378700,89696,29.484288,0.98775,11.731025,17.791665,3321.154792,write,100k,5,m
1682378701,93449,34.148997,0.923922,9.994561,15.196677,3336.563212,write,100k,5,m
1682378702,97072,24.000029,0.832105,10.242493,15.281657,3346.449646,write,100k,5,m
1682378708,3053,47.336378,1.413936,11.605409,17.069885,3017.878814,write,100k,5,m
1682378709,6655,23.845044,1.102151,10.206027,16.091398,3312.840466,write,100k,5,m
1682378710,10651,21.552126,1.081313,9.151461,13.212611,3541.600397,write,100k,5,m
1682378711,14457,20.258731,0.815817,10.544807,14.584948,3605.192417,write,100k,5,m
1682378712,17785,21.715804,0.87335,11.394898,15.294571,3549.887708,write,100k,5,m
1682378713,21516,23.682198,0.837238,10.749947,14.514913,3581.520457,write,100k,5,m
1682378714,24863,22.977306,0.897511,11.471699,15.983104,3547.78825,write,100k,5,m
1682378715,28133,23.291197,0.876842,11.541538,15.73282,3512.946446,write,100k,5,m
1682378716,31525,23.992127,0.752893,10.973927,17.385251,3499.277404,write,100k,5,m
1682378717,34852,20.060266,0.755588,11.398431,15.570623,3482.440727,write,100k,5,m
1682378718,38161,24.024845,0.793703,11.34046,15.599756,3466.764879,write,100k,5,m
1682378719,41819,22.760648,0.722399,10.660581,15.96629,3482.593233,write,100k,5,m
1682378720,44794,23.202669,0.866067,11.930641,16.08627,3443.487054,write,100k,5,m
1682378721,48289,24.010358,0.869552,10.449545,15.14879,3446.841803,write,100k,5,m
1682378722,51564,21.260102,0.836217,10.548809,15.925925,3435.840378,write,100k,5,m
1682378723,54626,19.384789,0.803781,11.007376,15.565624,3412.480641,write,100k,5,m
1682378724,57580,23.640686,0.797789,11.863624,17.392578,3385.562303,write,100k,5,m
1682378725,60488,21.578315,0.792251,12.092509,18.654431,3359.021011,write,100k,5,m
1682378726,64254,23.194212,0.831378,10.524486,15.365965,3380.407507,write,100k,5,m
1682378727,67411,20.179444,0.761868,11.225224,15.971323,3369.319858,write,100k,5,m
1682378728,70521,23.206175,0.781746,11.560804,17.341869,3356.97772,write,100k,5,m
1682378729,74224,23.648052,0.829634,10.948904,14.273129,3372.659186,write,100k,5,m
1682378730,77936,21.324751,0.821496,10.524355,14.974475,3387.434733,write,100k,5,m
1682378731,81407,23.251951,0.774952,11.537968,15.296358,3390.873473,write,100k,5,m
1682378732,84460,21.756799,0.844551,11.967528,19.13487,3377.383105,write,100k,5,m
1682378733,87200,21.782805,0.859305,12.000892,18.638073,3352.889605,write,100k,5,m
1682378734,90235,23.829717,0.832506,11.688915,15.696528,3341.120698,write,100k,5,m
1682378735,93359,20.427338,0.817273,10.864957,15.919322,3333.376999,write,100k,5,m
1682378736,96684,24.083326,0.809945,11.334649,16.037703,3333.076407,write,100k,5,m
1682378744,3103,54.645309,1.574697,10.33935,15.163001,3066.183337,write,100k,5,m
1682378751,3205,43.197787,1.478701,10.732589,18.10384,3167.480422,write,100k,5,m
1682378752,6567,22.977663,0.935862,11.719153,15.49815,3269.46316,write,100k,5,m
1682378753,11180,19.539535,0.886053,8.315646,13.887721,3715.968243,write,100k,5,m
