t,count,max,p50,p95,p99,mean_rate,action,run_amount,pod_grp,db_type
1682344962,3015,27.617567,1.423564,11.412741,16.401461,2980.149238,write,100k,1,m
1682344963,6679,20.966048,0.924244,9.408277,16.030743,3324.835726,write,100k,1,m
1682344964,11074,19.472503,1.001691,8.363136,12.549895,3680.729708,write,100k,1,m
1682344965,14388,22.271985,0.828838,11.256719,15.514556,3588.473376,write,100k,1,m
1682344966,17252,23.9941,0.798798,11.411557,16.077418,3443.864107,write,100k,1,m
1682344967,20437,20.832624,0.82132,10.756696,15.55385,3401.782222,write,100k,1,m
1682344968,23690,22.95599,0.816412,11.086658,15.515528,3380.821156,write,100k,1,m
1682344969,26688,23.721505,0.798928,11.126867,16.227985,3332.611511,write,100k,1,m
1682344970,29863,20.161824,0.829842,9.986504,15.669723,3315.564062,write,100k,1,m
1682344971,32897,19.961705,0.939783,11.282559,15.354788,3286.876708,write,100k,1,m
1682344972,36495,25.174077,0.910928,11.139897,15.471668,3315.249968,write,100k,1,m
1682344973,39205,22.578966,0.844262,11.736632,16.124645,3265.038297,write,100k,1,m
1682344974,42667,24.114395,0.801093,10.844822,15.276345,3280.087513,write,100k,1,m
1682344975,45273,23.959806,0.806979,12.034129,15.945917,3232.102879,write,100k,1,m
1682344976,48654,20.067626,0.950768,9.979624,15.069515,3241.884485,write,100k,1,m
1682344977,52269,19.95793,0.781835,10.114707,15.550865,3265.19342,write,100k,1,m
1682344978,55500,23.715595,0.75027,11.035332,15.973679,3263.221928,write,100k,1,m
1682344979,58454,24.052034,0.755082,12.010782,15.951712,3246.052024,write,100k,1,m
1682344980,61543,22.15742,0.786448,11.562215,16.939163,3237.802323,write,100k,1,m
1682344981,64482,19.75604,0.871484,11.49478,15.309669,3222.83648,write,100k,1,m
1682344982,67538,22.984822,0.828066,11.598513,15.914951,3214.931697,write,100k,1,m
1682344983,70397,19.979535,0.807191,11.573542,15.993283,3198.7691,write,100k,1,m
1682344984,73126,19.994753,0.814659,11.467065,17.564352,3178.369492,write,100k,1,m
1682344985,76156,23.985761,0.817427,11.476633,15.602992,3172.189047,write,100k,1,m
1682344986,78653,21.606829,0.804069,12.837355,18.771591,3145.205471,write,100k,1,m
1682344987,81592,22.5595,0.764411,11.906763,16.005012,3137.222213,write,100k,1,m
1682344988,84482,24.344341,0.792562,11.947879,17.620338,3128.095164,write,100k,1,m
1682344989,87490,21.36746,0.743801,11.502667,16.015047,3123.780966,write,100k,1,m
1682344990,90664,23.834793,0.753268,11.906056,16.039875,3125.533744,write,100k,1,m
1682344991,93595,22.404939,0.814533,11.5606,15.471449,3119.036113,write,100k,1,m
1682344992,96639,20.909082,0.780301,10.409775,17.327312,3116.635531,write,100k,1,m
1682344993,99605,20.022452,0.757435,11.703176,16.006395,3111.930591,write,100k,1,m
1682345091,3428,27.81514,1.344224,9.336632,15.534427,3388.023317,write,100k,1,m
1682345092,7047,28.513465,0.993882,9.131956,15.376733,3507.662045,write,100k,1,m
1682345093,10888,23.818397,1.052399,9.719621,14.551483,3619.854522,write,100k,1,m
1682345094,14588,21.536342,0.985823,9.218803,14.569471,3636.948978,write,100k,1,m
1682345095,17995,19.601533,0.879172,9.902068,15.537485,3591.866058,write,100k,1,m
1682345096,21584,19.408118,0.949398,9.312858,14.960356,3592.034221,write,100k,1,m
1682345097,25226,21.142596,0.99752,9.025463,15.053204,3599.149115,write,100k,1,m
1682345098,28957,19.579856,1.034421,9.259091,15.63412,3615.946466,write,100k,1,m
1682345099,32128,24.029553,0.899748,11.498225,16.107976,3566.350884,write,100k,1,m
1682345100,35575,19.598272,1.070322,10.879765,15.334348,3554.434522,write,100k,1,m
1682345101,38753,23.48578,1.011928,12.002215,16.231037,3520.372129,write,100k,1,m
1682345102,42480,16.002333,1.207376,9.062802,12.013772,3537.429018,write,100k,1,m
