time,errs,avgt,avgl,p50l,p95l,p99l,maxl,type
2023-04-25T06:30:01.539243816Z,0,3000.9,3024.6,3.3,4.7,6.0,7.9,write
2023-04-25T06:30:02.538628653Z,0,3172.0,3098.3,3.1,4.2,5.0,9.4,write
2023-04-25T06:30:03.538602207Z,0,3186.1,3127.5,3.1,4.5,5.5,8.9,write
2023-04-25T06:30:04.538892785Z,0,2940.1,3080.7,3.3,5.0,6.6,26.2,write
2023-04-25T06:30:05.538666162Z,0,3182.7,3101.1,3.1,4.1,5.0,8.9,write
2023-04-25T06:30:06.539009804Z,0,3232.9,3123.0,3.1,3.9,4.5,6.3,write
2023-04-25T06:30:07.538684023Z,0,3093.0,3118.8,3.1,4.5,6.3,8.4,write
2023-04-25T06:30:08.538637271Z,0,3092.1,3115.4,3.1,4.2,5.2,7.3,write
2023-04-25T06:30:09.539506605Z,0,3171.2,3121.6,3.1,3.9,4.5,5.5,write
2023-04-25T06:30:10.539161095Z,0,3166.1,3126.1,3.1,3.9,4.7,6.8,write
2023-04-25T06:30:11.538779297Z,0,2771.1,3093.8,3.4,5.8,10.5,19.9,write
2023-04-25T06:30:12.538899575Z,0,3197.6,3102.5,3.1,4.1,5.0,8.9,write
2023-04-25T06:30:13.539176867Z,0,1691.5,2993.9,4.5,13.1,15.7,19.9,write
2023-04-25T06:30:14.538573693Z,0,2481.5,2957.3,3.7,7.6,11.5,13.1,write
2023-04-25T06:30:15.538692837Z,0,3165.6,2971.2,3.1,4.2,5.2,6.8,write
2023-04-25T06:30:16.538487038Z,0,3123.6,2980.7,3.1,4.5,6.0,8.1,write
2023-04-25T06:30:17.53927664Z,0,3033.6,2983.9,3.1,4.7,5.8,8.9,write
2023-04-25T06:30:18.538667028Z,0,3122.9,2991.6,3.1,4.2,5.0,6.6,write
2023-04-25T06:30:19.538549326Z,0,3156.4,3000.3,3.1,4.2,5.8,7.9,write
2023-04-25T06:30:20.539228272Z,0,3197.8,3010.1,3.1,4.1,4.7,7.3,write
2023-04-25T06:30:21.539047927Z,0,3106.6,3014.7,3.1,4.5,5.8,10.5,write
2023-04-25T06:30:22.538793019Z,0,3086.8,3018.0,3.1,4.5,7.9,18.9,write
2023-04-25T06:30:23.539169989Z,0,3246.8,3028.0,3.0,3.9,5.0,11.5,write
2023-04-25T06:30:24.538903241Z,0,3246.9,3037.1,3.1,3.9,4.7,10.0,write
2023-04-25T06:30:25.539278127Z,0,3223.8,3044.5,3.0,4.1,6.0,8.4,write
2023-04-25T06:30:26.539349553Z,0,3200.8,3050.6,3.1,3.9,4.7,8.9,write
2023-04-25T06:30:27.539033775Z,0,3267.0,3058.6,3.0,3.8,4.7,7.3,write
2023-04-25T06:30:28.539407284Z,0,3155.8,3062.0,3.1,4.1,5.0,7.1,write
2023-04-25T06:30:29.53861887Z,0,3038.4,3061.2,3.1,4.7,7.1,13.6,write
2023-04-25T06:30:30.538916575Z,0,3191.1,3065.6,3.1,4.1,5.0,11.0,write
