time,errs,avgt,avgl,p50l,p95l,p99l,maxl,type
2023-04-25T05:28:28.403343214Z,0,2948.7,2975.8,3.4,4.5,5.2,8.9,write
2023-04-25T05:28:29.403404444Z,0,2970.8,2973.3,3.3,4.7,6.8,10.0,write
2023-04-25T05:28:30.403591212Z,0,2930.5,2959.0,3.4,4.7,5.5,9.4,write
2023-04-25T05:28:31.403411535Z,0,3094.6,2992.9,3.3,4.2,5.0,7.1,write
2023-04-25T05:28:32.403437427Z,0,3048.9,3004.1,3.3,4.5,6.6,10.0,write
2023-04-25T05:28:33.403921304Z,0,3088.5,3018.2,3.3,4.5,5.0,6.6,write
2023-04-25T05:28:34.404070498Z,0,3169.5,3039.8,3.1,4.2,4.7,6.6,write
2023-04-25T05:28:35.403441741Z,0,2982.9,3032.7,3.3,5.2,7.1,10.5,write
2023-04-25T05:28:36.403766504Z,0,3129.0,3043.4,3.3,4.2,5.0,6.0,write
2023-04-25T05:28:37.403341898Z,0,3067.3,3045.8,3.1,4.7,6.8,10.5,write
2023-04-25T05:28:38.403475684Z,0,3018.6,3043.3,3.3,4.7,5.2,6.3,write
2023-04-25T05:28:39.403315078Z,0,3133.5,3050.8,3.3,4.2,4.7,6.8,write
2023-04-25T05:28:40.40333825Z,0,2969.9,3044.6,3.3,4.7,6.6,10.5,write
2023-04-25T05:28:41.403598751Z,0,3027.2,3043.4,3.4,4.5,4.7,6.6,write
2023-04-25T05:28:42.403474808Z,0,2353.3,2997.4,3.9,7.1,12.6,27.3,write
2023-04-25T05:28:43.403500084Z,0,2536.9,2968.6,3.9,5.8,8.1,12.6,write
2023-04-25T05:28:44.403297418Z,0,2994.6,2970.1,3.3,4.7,6.3,9.4,write
2023-04-25T05:28:45.403546982Z,0,2613.3,2950.3,3.5,6.3,9.4,19.9,write
2023-04-25T05:28:46.403324968Z,0,3110.7,2958.7,3.3,4.2,5.0,7.3,write
2023-04-25T05:28:47.403523499Z,0,2945.4,2958.1,3.4,4.7,6.8,10.5,write
2023-04-25T05:28:48.403642328Z,0,2903.7,2955.5,3.4,4.7,6.0,8.9,write
2023-04-25T05:28:49.403692325Z,0,3093.8,2961.8,3.3,4.2,4.7,6.0,write
2023-04-25T05:28:50.403484545Z,0,2930.6,2960.4,3.4,4.7,7.1,8.9,write
2023-04-25T05:28:51.404169029Z,0,3102.9,2966.3,3.3,4.2,4.7,6.0,write
2023-04-25T05:28:52.403510964Z,0,2901.9,2963.8,3.3,4.7,11.0,15.2,write
2023-04-25T05:28:53.403782774Z,0,2885.2,2960.8,3.4,4.7,5.2,7.1,write
2023-04-25T05:28:54.403309782Z,0,3073.5,2964.9,3.3,4.5,5.0,8.9,write
2023-04-25T05:28:55.403500788Z,0,2878.5,2961.8,3.3,4.7,10.5,31.5,write
2023-04-25T05:28:56.403505029Z,0,3091.0,2966.3,3.3,4.5,5.0,8.4,write
2023-04-25T05:28:57.403337031Z,0,3015.5,2967.9,3.3,4.7,6.8,10.0,write
2023-04-25T05:28:58.403955411Z,0,2992.1,2968.7,3.4,4.5,5.2,6.3,write
2023-04-25T05:28:59.403600164Z,0,2924.0,2967.3,3.3,5.0,7.1,12.1,write
2023-04-25T05:29:00.403962024Z,0,2973.9,2967.5,3.4,4.5,5.2,7.9,write
2023-04-25T05:29:01.403387412Z,0,3148.8,2972.8,3.3,4.2,4.7,6.3,write
2023-04-25T05:29:02.403936857Z,0,3058.3,2975.3,3.3,4.7,7.1,9.4,write
2023-04-25T05:29:03.403356683Z,0,3188.9,2981.2,3.1,4.1,4.7,6.0,write
2023-04-25T05:29:04.403594041Z,0,2979.3,2981.2,3.3,4.7,7.1,11.5,write
2023-04-25T05:29:05.403831554Z,0,2059.5,2956.9,4.2,11.0,16.8,25.2,write
2023-04-25T05:29:06.403364555Z,0,2099.0,2934.9,4.5,7.6,21.0,30.4,write
2023-04-25T05:29:07.404047993Z,0,2986.0,2936.2,3.3,4.7,6.6,17.8,write
2023-04-25T05:29:08.40342271Z,0,3097.9,2940.1,3.3,4.5,5.0,8.4,write
2023-04-25T05:29:09.403465192Z,0,3136.9,2944.8,3.1,4.5,6.3,10.0,write
2023-04-25T05:29:10.403649742Z,0,3263.4,2952.2,3.1,4.1,4.5,7.1,write
2023-04-25T05:29:11.40351268Z,0,3098.4,2955.6,3.1,4.7,6.6,8.9,write
2023-04-25T05:29:12.40361874Z,0,3170.7,2960.3,3.1,4.2,4.7,6.8,write
2023-04-25T05:29:13.404261277Z,0,3176.0,2965.0,3.1,4.2,5.2,8.1,write
2023-04-25T05:29:14.403433708Z,0,2904.4,2963.7,3.3,5.0,8.1,12.6,write
2023-04-25T05:29:15.40338527Z,0,2984.1,2964.2,3.3,4.7,6.0,8.4,write
2023-04-25T05:29:16.40349508Z,0,2867.7,2962.2,3.4,5.2,8.1,14.7,write
2023-04-25T05:29:17.403721151Z,0,2858.4,2960.1,3.4,5.0,5.5,6.6,write
2023-04-25T05:29:18.403784257Z,0,3016.8,2961.2,3.3,4.5,5.8,10.0,write
2023-04-25T05:29:19.403404498Z,0,3082.2,2963.6,3.1,4.7,7.9,11.0,write
2023-04-25T05:29:20.403411289Z,0,3247.0,2968.9,3.1,4.1,4.7,9.4,write
2023-04-25T05:29:21.403400987Z,0,3112.0,2971.5,3.1,4.5,6.6,10.0,write
2023-04-25T05:29:22.403437949Z,0,3172.9,2975.2,3.1,4.2,5.2,9.4,write
2023-04-25T05:29:23.403389907Z,0,3184.2,2978.9,3.1,4.1,5.0,6.8,write
2023-04-25T05:29:24.404195187Z,0,2985.6,2979.1,3.3,5.0,6.6,10.5,write
2023-04-25T05:29:25.403331569Z,0,3098.7,2981.1,3.3,4.5,5.8,8.4,write
2023-04-25T05:29:26.403403947Z,0,3105.8,2983.2,3.1,4.7,6.3,10.5,write
2023-04-25T05:29:27.403910564Z,0,3201.4,2986.9,3.1,4.2,4.7,6.3,write
2023-04-25T05:29:28.403402611Z,0,2980.5,2986.8,3.3,4.7,6.3,8.9,write
2023-04-25T05:29:29.403330138Z,0,3169.2,2989.7,3.1,4.7,6.3,10.5,write
2023-04-25T05:29:30.403340763Z,0,3170.0,2992.6,3.1,4.2,4.7,7.6,write
2023-04-25T05:29:31.403366342Z,0,3127.9,2994.7,3.1,4.5,6.3,10.5,write
2023-04-25T05:29:32.403419374Z,0,3204.8,2997.9,3.1,4.1,4.7,7.1,write
2023-04-25T05:29:33.403760843Z,0,3229.9,3001.4,3.1,4.1,4.7,5.5,write
2023-04-25T05:29:34.40345004Z,0,3039.9,3002.0,3.3,4.7,7.1,14.7,write
2023-04-25T05:29:35.403694814Z,0,3106.2,3003.5,3.1,4.5,5.8,8.9,write
2023-04-25T05:29:36.403321581Z,0,3025.1,3003.9,3.3,4.7,7.6,11.0,write
2023-04-25T05:29:37.403525472Z,0,3172.4,3006.3,3.1,4.2,4.7,6.0,write
2023-04-25T05:29:38.404246795Z,0,3094.8,3007.5,3.1,4.5,5.5,9.4,write
2023-04-25T05:29:39.404304233Z,0,2898.8,3006.0,3.1,5.2,12.6,25.2,write
2023-04-25T05:29:40.403938738Z,0,3254.2,3009.4,3.1,4.1,4.5,5.2,write
2023-04-25T05:29:41.403842555Z,0,2968.3,3008.8,3.3,4.7,8.1,16.8,write
2023-04-25T05:29:42.403632683Z,0,2744.6,3005.3,3.3,6.0,7.6,8.9,write
2023-04-25T05:29:43.403929346Z,0,3189.1,3007.7,3.1,4.2,5.0,7.3,write
2023-04-25T05:29:44.403345288Z,0,3036.8,3008.1,3.3,4.7,8.4,11.0,write
2023-04-25T05:29:45.403520353Z,0,3090.5,3009.2,3.1,4.5,6.6,10.0,write
2023-04-25T05:29:46.403463244Z,0,2935.2,3008.2,3.3,5.2,6.8,10.5,write
2023-04-25T05:29:47.403367696Z,0,2767.3,3005.2,3.5,5.2,6.6,8.1,write
2023-04-25T05:29:48.403734201Z,0,2742.0,3002.0,3.5,5.2,7.3,8.9,write
2023-04-25T05:29:49.403387908Z,0,3031.0,3002.3,3.3,4.7,7.1,9.4,write
2023-04-25T05:29:50.403341687Z,0,3186.1,3004.5,3.1,4.1,4.7,5.8,write
2023-04-25T05:29:51.403694489Z,0,3030.9,3004.9,3.3,4.7,7.1,10.5,write
2023-04-25T05:29:52.403388777Z,0,3185.0,3007.0,3.1,4.2,5.0,6.3,write
2023-04-25T05:29:53.403499383Z,0,3208.6,3009.3,3.1,4.1,4.7,6.0,write
2023-04-25T05:29:54.404025222Z,0,2826.5,3007.2,3.3,5.8,7.9,12.1,write
2023-04-25T05:29:55.403324609Z,0,2066.4,2996.5,4.2,11.5,17.8,22.0,write
2023-04-25T05:29:56.403523707Z,0,2974.4,2996.3,3.3,4.7,6.0,29.4,write
2023-04-25T05:29:57.403509624Z,0,2869.0,2994.9,3.5,4.7,5.2,6.6,write
2023-04-25T05:29:58.40351526Z,0,2860.0,2993.4,3.3,5.0,8.4,24.1,write
2023-04-25T05:29:59.403391456Z,0,3172.4,2995.3,3.1,4.2,4.7,6.8,write
2023-04-25T05:30:00.403433153Z,0,3079.9,2996.2,3.3,4.5,5.0,7.1,write
2023-04-25T05:30:01.403333698Z,0,3014.3,2996.4,3.3,4.7,7.1,10.5,write
2023-04-25T05:30:02.403337349Z,0,3190.0,2998.5,3.1,4.2,4.7,5.8,write
2023-04-25T05:30:03.4042609Z,0,2990.2,2998.4,3.3,4.7,6.8,10.0,write
2023-04-25T05:30:04.403420189Z,0,3105.6,2999.5,3.3,4.5,5.2,7.3,write
2023-04-25T05:30:05.403737132Z,0,2723.1,2996.7,3.5,5.2,7.1,11.5,write
2023-04-25T05:30:06.403876327Z,0,3029.6,2997.0,3.3,4.7,7.1,11.5,write
2023-04-25T05:30:07.403502769Z,0,3191.2,2998.9,3.1,4.2,4.7,6.6,write
2023-04-25T05:30:08.404086122Z,0,2809.4,2997.1,3.4,5.2,8.9,13.6,write
2023-04-25T05:30:09.403579541Z,0,3036.5,2997.5,3.3,4.5,5.0,6.3,write
2023-04-25T05:30:10.403292315Z,0,3181.9,2999.2,3.1,4.2,5.0,7.6,write
2023-04-25T05:30:11.403330935Z,0,3098.9,3000.2,3.1,4.5,6.6,9.4,write
2023-04-25T05:30:12.403894264Z,0,3009.3,3000.3,3.3,4.7,6.8,12.6,write
2023-04-25T05:30:13.403385404Z,0,2833.4,2998.7,3.4,5.2,9.4,16.8,write
