time,errs,avgt,avgl,p50l,p95l,p99l,maxl,type
2023-04-25T04:12:35.935443068Z,0,6670.8,6711.6,1.3,3.1,5.8,12.1,read
2023-04-25T04:12:36.935409794Z,0,7483.2,7097.3,1.3,2.6,3.1,5.5,read
2023-04-25T04:12:37.935408546Z,0,6526.0,6906.9,1.4,3.3,4.7,12.1,read
2023-04-25T04:12:38.935462529Z,0,6806.6,6881.8,1.4,3.0,4.1,11.0,read
2023-04-25T04:12:39.935454186Z,0,6901.1,6885.7,1.4,2.9,4.2,13.1,read
2023-04-25T04:12:40.935467289Z,0,6690.9,6853.2,1.4,3.1,5.0,18.9,read
2023-04-25T04:12:41.935415377Z,0,7434.4,6936.2,1.3,2.6,3.1,5.2,read
2023-04-25T04:12:42.935444759Z,0,6666.8,6902.6,1.4,3.1,5.2,12.1,read
2023-04-25T04:12:43.93564992Z,0,7528.5,6972.1,1.3,2.8,3.1,5.8,read
2023-04-25T04:12:44.93555481Z,0,6666.6,6941.6,1.4,3.0,5.8,11.5,read
2023-04-25T04:12:45.936195746Z,0,7294.3,6973.7,1.3,2.8,3.4,7.9,read
2023-04-25T04:12:46.935407804Z,0,7003.5,6976.1,1.3,2.9,4.5,13.6,read
2023-04-25T04:12:47.935568315Z,0,7200.8,6993.4,1.3,2.9,3.8,10.0,read
2023-04-25T04:12:48.935438814Z,0,6646.9,6968.7,1.4,3.0,5.0,15.2,read
2023-04-25T04:12:49.935425784Z,0,6758.1,6954.6,1.4,3.0,5.0,12.1,read
2023-04-25T04:12:50.935667393Z,0,6982.3,6956.4,1.4,2.9,3.9,11.5,read
2023-04-25T04:12:51.935405483Z,0,6564.7,6933.3,1.4,3.1,5.5,13.6,read
2023-04-25T04:12:52.935466169Z,0,7183.6,6947.2,1.4,2.9,3.4,5.0,read
2023-04-25T04:12:53.935576784Z,0,6618.3,6929.9,1.4,3.1,6.0,13.1,read
2023-04-25T04:12:54.935454373Z,0,7381.9,6952.5,1.3,2.6,3.1,4.5,read
2023-04-25T04:12:55.935470135Z,0,6679.9,6939.5,1.4,3.1,5.0,13.1,read
2023-04-25T04:12:56.935594181Z,0,7242.1,6953.3,1.3,2.9,3.4,6.0,read
2023-04-25T04:12:57.935475197Z,0,6746.8,6944.3,1.3,3.0,5.2,13.1,read
2023-04-25T04:12:58.935478788Z,0,6913.0,6943.0,1.4,2.9,3.5,7.6,read
2023-04-25T04:12:59.935571897Z,0,5957.4,6903.6,1.4,4.1,5.8,13.6,read
2023-04-25T04:13:00.935541229Z,0,7220.2,6915.8,1.4,2.9,3.4,5.8,read
2023-04-25T04:13:01.935410747Z,0,6638.9,6905.5,1.4,3.0,5.0,11.5,read
2023-04-25T04:13:02.935443902Z,0,7259.8,6918.2,1.3,2.8,3.3,7.6,read
2023-04-25T04:13:03.93541602Z,0,6594.2,6907.0,1.4,3.1,4.7,15.7,read
2023-04-25T04:13:04.935439671Z,0,7419.8,6924.1,1.3,2.8,3.1,4.5,read
2023-04-25T04:13:05.935434084Z,0,6868.0,6922.3,1.3,3.0,4.7,13.1,read
2023-04-25T04:13:06.935444441Z,0,7411.9,6937.6,1.3,2.8,3.1,3.9,read
2023-04-25T04:13:07.935418765Z,0,6710.2,6930.7,1.3,3.1,5.2,10.0,read
2023-04-25T04:13:08.935434795Z,0,7087.9,6935.3,1.4,2.9,3.4,5.5,read
2023-04-25T04:13:09.935488536Z,0,6638.6,6926.8,1.4,3.1,5.0,12.6,read
2023-04-25T04:13:10.935497842Z,0,7449.9,6941.4,1.3,2.8,3.1,13.1,read
