time,errs,avgt,avgl,p50l,p95l,p99l,maxl,type
2023-04-25T04:32:08.021649949Z,0,2637.6,2653.1,3.4,6.8,11.5,17.8,write
2023-04-25T04:32:09.0213992Z,0,3756.9,3204.7,2.6,3.8,4.5,6.3,write
2023-04-25T04:32:10.021770664Z,0,3489.7,3299.7,2.8,4.5,9.4,15.7,write
2023-04-25T04:32:11.021845784Z,0,3257.8,3289.2,3.0,5.0,6.6,14.2,write
2023-04-25T04:32:12.021125279Z,0,3733.7,3378.0,2.6,3.8,4.5,6.8,write
2023-04-25T04:32:13.020997313Z,0,3168.4,3343.1,2.9,5.5,10.0,14.7,write
2023-04-25T04:32:14.021261938Z,0,3796.0,3407.8,2.6,3.7,4.5,6.3,write
2023-04-25T04:32:15.021488886Z,0,2930.3,3348.1,3.1,6.6,11.0,18.9,write
2023-04-25T04:32:16.020989681Z,0,3535.8,3369.0,2.8,4.5,5.5,8.1,write
2023-04-25T04:32:17.021228329Z,0,3223.2,3354.4,2.9,5.5,9.4,13.6,write
2023-04-25T04:32:18.0217759Z,0,3612.0,3377.8,2.8,4.1,5.5,7.3,write
2023-04-25T04:32:19.021892605Z,0,3011.6,3347.3,3.1,5.2,10.5,13.1,write
2023-04-25T04:32:20.02169176Z,0,3457.7,3355.8,2.8,4.5,6.3,15.7,write
2023-04-25T04:32:21.021568427Z,0,3734.5,3382.8,2.6,3.8,5.0,13.1,write
2023-04-25T04:32:22.020946109Z,0,2881.8,3349.5,3.1,5.8,11.5,19.9,write
2023-04-25T04:32:23.021171323Z,0,3727.2,3373.1,2.8,3.8,5.0,6.8,write
2023-04-25T04:32:24.021563641Z,0,3018.8,3352.2,3.1,5.8,8.1,16.8,write
2023-04-25T04:32:25.021574663Z,0,3251.0,3346.6,3.0,4.7,5.8,6.8,write
2023-04-25T04:32:26.021270399Z,0,3230.0,3340.5,2.9,5.8,9.4,12.6,write
2023-04-25T04:32:27.020951136Z,0,3123.0,3329.6,3.1,4.7,5.8,7.3,write
2023-04-25T04:32:28.021468609Z,0,3487.2,3337.1,2.8,4.5,5.5,8.4,write
2023-04-25T04:32:29.021487843Z,0,3129.9,3327.7,2.9,6.0,11.5,16.8,write
2023-04-25T04:32:30.0211929Z,0,3751.1,3346.1,2.6,3.7,4.5,5.8,write
2023-04-25T04:32:31.021028524Z,0,3091.5,3335.5,3.0,5.8,10.5,16.3,write
2023-04-25T04:32:32.021453706Z,0,3793.4,3353.8,2.6,3.7,4.5,6.8,write
2023-04-25T04:32:33.021122029Z,0,3048.0,3342.0,3.0,5.8,10.0,12.6,write
2023-04-25T04:32:34.020962933Z,0,3682.6,3354.7,2.8,3.9,5.0,8.4,write
2023-04-25T04:32:35.021431823Z,0,3159.5,3347.7,2.9,5.5,10.5,14.7,write
2023-04-25T04:32:36.020997285Z,0,3518.5,3353.6,2.8,4.2,5.2,7.9,write
2023-04-25T04:32:37.021958712Z,0,1896.2,3305.0,3.5,15.2,24.1,39.8,write
2023-04-25T04:32:38.021703741Z,0,1084.3,3233.3,7.6,19.9,25.2,33.6,write
2023-04-25T04:32:39.021098029Z,0,2059.2,3196.7,3.9,11.5,17.8,22.0,write
2023-04-25T04:32:40.021053741Z,0,3152.1,3195.3,3.1,4.7,5.8,8.9,write
2023-04-25T04:32:41.021622386Z,0,2916.3,3187.1,3.1,6.0,11.5,23.1,write
2023-04-25T04:32:42.021204922Z,0,3203.3,3187.6,3.1,4.7,5.5,7.9,write
2023-04-25T04:32:43.021250165Z,0,3391.8,3193.2,2.8,5.2,10.5,14.2,write
2023-04-25T04:32:44.020960038Z,0,2731.8,3180.8,3.3,6.8,10.5,23.1,write
2023-04-25T04:32:45.021795441Z,0,2988.5,3175.7,2.9,6.6,10.5,19.9,write
2023-04-25T04:32:46.020916895Z,0,3921.4,3194.8,2.6,3.7,4.5,7.3,write
2023-04-25T04:32:47.021587165Z,0,3009.0,3190.2,2.8,7.6,12.6,22.0,write
2023-04-25T04:32:48.021546959Z,0,3183.1,3190.0,3.0,4.7,5.8,14.2,write
2023-04-25T04:32:49.021544023Z,0,3050.0,3186.7,3.0,5.5,10.0,16.3,write
2023-04-25T04:32:50.021260805Z,0,3797.1,3200.9,2.6,3.8,7.3,18.9,write
2023-04-25T04:32:51.020975105Z,0,3504.0,3207.7,2.6,5.5,8.9,14.2,write
2023-04-25T04:32:52.021123177Z,0,3958.4,3224.4,2.6,3.5,4.2,7.3,write
2023-04-25T04:32:53.021429459Z,0,3561.9,3231.8,2.6,5.5,8.4,18.9,write
2023-04-25T04:32:54.021001255Z,0,3766.6,3243.1,2.6,3.9,4.7,6.8,write
2023-04-25T04:32:55.020957947Z,0,3537.2,3249.3,2.6,4.7,10.0,15.7,write
2023-04-25T04:32:56.021290282Z,0,3481.8,3254.0,2.8,4.5,6.0,10.5,write
2023-04-25T04:32:57.020973488Z,0,3942.2,3267.8,2.5,3.5,4.2,6.8,write
2023-04-25T04:32:58.02193502Z,0,3167.0,3265.8,2.9,5.8,8.9,15.2,write
2023-04-25T04:32:59.020940613Z,0,3866.8,3277.3,2.6,3.7,4.5,6.0,write
2023-04-25T04:33:00.021565536Z,0,3010.1,3272.3,3.1,5.5,8.9,13.1,write
2023-04-25T04:33:01.021674065Z,0,3138.7,3269.8,3.1,4.7,6.3,10.5,write
2023-04-25T04:33:02.020930344Z,0,3263.4,3269.7,2.9,5.2,7.9,15.2,write
2023-04-25T04:33:03.021086917Z,0,3945.4,3281.8,2.6,3.5,4.2,7.3,write
2023-04-25T04:33:04.020962768Z,0,3417.4,3284.2,2.8,5.2,9.4,14.7,write
2023-04-25T04:33:05.021544417Z,0,3913.7,3295.0,2.6,3.7,4.5,6.8,write
2023-04-25T04:33:06.02095585Z,0,3490.1,3298.3,2.6,5.0,8.1,15.2,write
2023-04-25T04:33:07.021273718Z,0,3830.8,3307.2,2.6,3.8,4.7,6.6,write
2023-04-25T04:33:08.020989017Z,0,3449.0,3309.5,2.6,5.2,8.9,14.7,write
2023-04-25T04:33:09.020974152Z,0,3790.1,3317.3,2.6,3.8,5.0,7.6,write
2023-04-25T04:33:10.021340507Z,0,3537.7,3320.8,2.6,5.2,9.4,13.1,write
2023-04-25T04:33:11.02174502Z,0,3858.4,3329.2,2.6,3.7,5.0,12.1,write
2023-04-25T04:33:12.021232302Z,0,3466.8,3331.3,2.6,5.2,9.4,21.0,write
2023-04-25T04:33:13.020974881Z,0,3933.0,3340.4,2.5,3.7,4.5,5.8,write
2023-04-25T04:33:14.02127893Z,0,3500.9,3342.8,2.6,5.2,10.0,18.9,write
2023-04-25T04:33:15.021785193Z,0,3184.4,3340.5,3.1,4.7,5.8,11.0,write
2023-04-25T04:33:16.021084216Z,0,3975.8,3349.7,2.6,3.5,4.2,5.2,write
2023-04-25T04:33:17.021188831Z,0,3003.7,3344.7,3.1,5.5,10.0,14.2,write
2023-04-25T04:33:18.021413179Z,0,3156.3,3342.1,3.1,4.7,5.8,7.1,write
2023-04-25T04:33:19.021405373Z,0,3193.0,3340.0,2.9,5.5,8.9,14.7,write
2023-04-25T04:33:20.020963161Z,0,3291.5,3339.3,3.0,4.5,5.2,6.3,write
2023-04-25T04:33:21.021023388Z,0,2966.8,3334.3,3.1,6.0,9.4,21.0,write
2023-04-25T04:33:22.020953208Z,0,3334.2,3334.3,3.0,4.5,5.2,6.8,write
2023-04-25T04:33:23.020974541Z,0,3899.9,3341.7,2.6,3.5,4.5,10.0,write
